CET Time,UK Time (HH:MM),Area Code,                   Area Name,Unit Price (inc VAT)
2021-10-01 00:00:00+00:00,00:00,C,London,9.35
2021-10-02 00:00:00+00:00,00:00,C,London,8.24
2021-10-03 00:00:00+00:00,00:00,C,London,8.24
2021-10-04 00:00:00+00:00,00:00,C,London,8.43
2021-10-05 00:00:00+00:00,00:00,C,London,9.37
2021-10-06 00:00:00+00:00,00:00,C,London,11.7
2021-10-07 00:00:00+00:00,00:00,C,London,10.17
2021-10-08 00:00:00+00:00,00:00,C,London,9.81
2021-10-09 00:00:00+00:00,00:00,C,London,8.39
2021-10-10 00:00:00+00:00,00:00,C,London,8.39
2021-10-11 00:00:00+00:00,00:00,C,London,8.45
2021-10-12 00:00:00+00:00,00:00,C,London,9.09
2021-10-13 00:00:00+00:00,00:00,C,London,9.27
2021-10-14 00:00:00+00:00,00:00,C,London,9.52
2021-10-15 00:00:00+00:00,00:00,C,London,10.36
2021-10-16 00:00:00+00:00,00:00,C,London,8.88
2021-10-17 00:00:00+00:00,00:00,C,London,8.88
2021-10-18 00:00:00+00:00,00:00,C,London,9.04
2021-10-19 00:00:00+00:00,00:00,C,London,9.17
2021-10-20 00:00:00+00:00,00:00,C,London,8.88
2021-10-21 00:00:00+00:00,00:00,C,London,9.26
2021-10-22 00:00:00+00:00,00:00,C,London,9.49
2021-10-23 00:00:00+00:00,00:00,C,London,9.11
2021-10-24 00:00:00+00:00,00:00,C,London,9.11
2021-10-25 00:00:00+00:00,00:00,C,London,9.19
2021-10-26 00:00:00+00:00,00:00,C,London,9.23
2021-10-27 00:00:00+00:00,00:00,C,London,9.3
2021-10-28 00:00:00+00:00,00:00,C,London,9.05
2021-10-29 00:00:00+00:00,00:00,C,London,8.16
2021-10-30 00:00:00+00:00,00:00,C,London,6.6
2021-10-31 00:00:00+00:00,00:00,C,London,6.6
2021-11-01 00:00:00+00:00,00:00,C,London,6.65
2021-11-02 00:00:00+00:00,00:00,C,London,7.23
2021-11-03 00:00:00+00:00,00:00,C,London,7.75
2021-11-04 00:00:00+00:00,00:00,C,London,8.51
2021-11-05 00:00:00+00:00,00:00,C,London,8.13
2021-11-06 00:00:00+00:00,00:00,C,London,8.09
2021-11-07 00:00:00+00:00,00:00,C,London,8.09
2021-11-08 00:00:00+00:00,00:00,C,London,8.2
2021-11-09 00:00:00+00:00,00:00,C,London,8.39
2021-11-10 00:00:00+00:00,00:00,C,London,7.78
2021-11-11 00:00:00+00:00,00:00,C,London,7.44
2021-11-12 00:00:00+00:00,00:00,C,London,8.01
2021-11-13 00:00:00+00:00,00:00,C,London,8.01
2021-11-14 00:00:00+00:00,00:00,C,London,8.01
2021-11-15 00:00:00+00:00,00:00,C,London,8.2
2021-11-16 00:00:00+00:00,00:00,C,London,9.04
2021-11-17 00:00:00+00:00,00:00,C,London,9.9
2021-11-18 00:00:00+00:00,00:00,C,London,10.1
2021-11-19 00:00:00+00:00,00:00,C,London,9.84
2021-11-20 00:00:00+00:00,00:00,C,London,9.3
2021-11-21 00:00:00+00:00,00:00,C,London,9.3
2021-11-22 00:00:00+00:00,00:00,C,London,9.49
2021-11-23 00:00:00+00:00,00:00,C,London,9.38
2021-11-24 00:00:00+00:00,00:00,C,London,9.86
2021-11-25 00:00:00+00:00,00:00,C,London,10.25
2021-11-26 00:00:00+00:00,00:00,C,London,10.1
2021-11-27 00:00:00+00:00,00:00,C,London,9.61
2021-11-28 00:00:00+00:00,00:00,C,London,9.61
2021-11-29 00:00:00+00:00,00:00,C,London,9.53
2021-11-30 00:00:00+00:00,00:00,C,London,10.24
2021-12-01 00:00:00+00:00,00:00,C,London,10.06
2021-12-02 00:00:00+00:00,00:00,C,London,10.59
2021-12-03 00:00:00+00:00,00:00,C,London,10.22
2021-12-04 00:00:00+00:00,00:00,C,London,9.91
2021-12-05 00:00:00+00:00,00:00,C,London,9.91
2021-12-06 00:00:00+00:00,00:00,C,London,9.94
2021-12-07 00:00:00+00:00,00:00,C,London,9.94
2021-12-08 00:00:00+00:00,00:00,C,London,10.5
2021-12-09 00:00:00+00:00,00:00,C,London,11.33
2021-12-10 00:00:00+00:00,00:00,C,London,10.86
2021-12-11 00:00:00+00:00,00:00,C,London,11.42
2021-12-12 00:00:00+00:00,00:00,C,London,11.42
2021-12-13 00:00:00+00:00,00:00,C,London,11.32
2021-12-14 00:00:00+00:00,00:00,C,London,12.38
2021-12-15 00:00:00+00:00,00:00,C,London,13.25
2021-12-16 00:00:00+00:00,00:00,C,London,13.4
2021-12-17 00:00:00+00:00,00:00,C,London,14.05
2021-12-18 00:00:00+00:00,00:00,C,London,14.11
2021-12-19 00:00:00+00:00,00:00,C,London,14.11
2021-12-20 00:00:00+00:00,00:00,C,London,14.24
2021-12-21 00:00:00+00:00,00:00,C,London,15.68
2021-12-22 00:00:00+00:00,00:00,C,London,18.64
2021-12-23 00:00:00+00:00,00:00,C,London,17.62
2021-12-24 00:00:00+00:00,00:00,C,London,14.66
