CET Time,UK Time (HH:MM),Area Code,                   Area Name,Unit Price (inc VAT)
2021-10-01 00:00:00+00:00,00:00,K,Southern_Wales,9.24
2021-10-02 00:00:00+00:00,00:00,K,Southern_Wales,8.14
2021-10-03 00:00:00+00:00,00:00,K,Southern_Wales,8.14
2021-10-04 00:00:00+00:00,00:00,K,Southern_Wales,8.33
2021-10-05 00:00:00+00:00,00:00,K,Southern_Wales,9.27
2021-10-06 00:00:00+00:00,00:00,K,Southern_Wales,11.59
2021-10-07 00:00:00+00:00,00:00,K,Southern_Wales,10.08
2021-10-08 00:00:00+00:00,00:00,K,Southern_Wales,9.71
2021-10-09 00:00:00+00:00,00:00,K,Southern_Wales,8.29
2021-10-10 00:00:00+00:00,00:00,K,Southern_Wales,8.29
2021-10-11 00:00:00+00:00,00:00,K,Southern_Wales,8.35
2021-10-12 00:00:00+00:00,00:00,K,Southern_Wales,8.99
2021-10-13 00:00:00+00:00,00:00,K,Southern_Wales,9.18
2021-10-14 00:00:00+00:00,00:00,K,Southern_Wales,9.43
2021-10-15 00:00:00+00:00,00:00,K,Southern_Wales,10.27
2021-10-16 00:00:00+00:00,00:00,K,Southern_Wales,8.79
2021-10-17 00:00:00+00:00,00:00,K,Southern_Wales,8.79
2021-10-18 00:00:00+00:00,00:00,K,Southern_Wales,8.94
2021-10-19 00:00:00+00:00,00:00,K,Southern_Wales,9.07
2021-10-20 00:00:00+00:00,00:00,K,Southern_Wales,8.79
2021-10-21 00:00:00+00:00,00:00,K,Southern_Wales,9.17
2021-10-22 00:00:00+00:00,00:00,K,Southern_Wales,9.4
2021-10-23 00:00:00+00:00,00:00,K,Southern_Wales,9.02
2021-10-24 00:00:00+00:00,00:00,K,Southern_Wales,9.02
2021-10-25 00:00:00+00:00,00:00,K,Southern_Wales,9.09
2021-10-26 00:00:00+00:00,00:00,K,Southern_Wales,9.12
2021-10-27 00:00:00+00:00,00:00,K,Southern_Wales,9.21
2021-10-28 00:00:00+00:00,00:00,K,Southern_Wales,8.96
2021-10-29 00:00:00+00:00,00:00,K,Southern_Wales,8.05
2021-10-30 00:00:00+00:00,00:00,K,Southern_Wales,6.51
2021-10-31 00:00:00+00:00,00:00,K,Southern_Wales,6.51
2021-11-01 00:00:00+00:00,00:00,K,Southern_Wales,6.54
2021-11-02 00:00:00+00:00,00:00,K,Southern_Wales,7.14
2021-11-03 00:00:00+00:00,00:00,K,Southern_Wales,7.64
2021-11-04 00:00:00+00:00,00:00,K,Southern_Wales,8.41
2021-11-05 00:00:00+00:00,00:00,K,Southern_Wales,8.03
2021-11-06 00:00:00+00:00,00:00,K,Southern_Wales,7.99
2021-11-07 00:00:00+00:00,00:00,K,Southern_Wales,7.99
2021-11-08 00:00:00+00:00,00:00,K,Southern_Wales,8.11
2021-11-09 00:00:00+00:00,00:00,K,Southern_Wales,8.29
2021-11-10 00:00:00+00:00,00:00,K,Southern_Wales,7.69
2021-11-11 00:00:00+00:00,00:00,K,Southern_Wales,7.35
2021-11-12 00:00:00+00:00,00:00,K,Southern_Wales,7.92
2021-11-13 00:00:00+00:00,00:00,K,Southern_Wales,7.92
2021-11-14 00:00:00+00:00,00:00,K,Southern_Wales,7.92
2021-11-15 00:00:00+00:00,00:00,K,Southern_Wales,8.11
2021-11-16 00:00:00+00:00,00:00,K,Southern_Wales,8.94
2021-11-17 00:00:00+00:00,00:00,K,Southern_Wales,9.81
2021-11-18 00:00:00+00:00,00:00,K,Southern_Wales,10.01
2021-11-19 00:00:00+00:00,00:00,K,Southern_Wales,9.73
2021-11-20 00:00:00+00:00,00:00,K,Southern_Wales,9.21
2021-11-21 00:00:00+00:00,00:00,K,Southern_Wales,9.21
2021-11-22 00:00:00+00:00,00:00,K,Southern_Wales,9.4
2021-11-23 00:00:00+00:00,00:00,K,Southern_Wales,9.28
2021-11-24 00:00:00+00:00,00:00,K,Southern_Wales,9.75
2021-11-25 00:00:00+00:00,00:00,K,Southern_Wales,10.15
2021-11-26 00:00:00+00:00,00:00,K,Southern_Wales,10.01
2021-11-27 00:00:00+00:00,00:00,K,Southern_Wales,9.51
2021-11-28 00:00:00+00:00,00:00,K,Southern_Wales,9.51
2021-11-29 00:00:00+00:00,00:00,K,Southern_Wales,9.43
2021-11-30 00:00:00+00:00,00:00,K,Southern_Wales,10.14
2021-12-01 00:00:00+00:00,00:00,K,Southern_Wales,9.96
2021-12-02 00:00:00+00:00,00:00,K,Southern_Wales,10.5
2021-12-03 00:00:00+00:00,00:00,K,Southern_Wales,10.11
2021-12-04 00:00:00+00:00,00:00,K,Southern_Wales,9.81
2021-12-05 00:00:00+00:00,00:00,K,Southern_Wales,9.81
2021-12-06 00:00:00+00:00,00:00,K,Southern_Wales,9.85
2021-12-07 00:00:00+00:00,00:00,K,Southern_Wales,9.85
2021-12-08 00:00:00+00:00,00:00,K,Southern_Wales,10.39
2021-12-09 00:00:00+00:00,00:00,K,Southern_Wales,11.23
2021-12-10 00:00:00+00:00,00:00,K,Southern_Wales,10.76
2021-12-11 00:00:00+00:00,00:00,K,Southern_Wales,11.33
2021-12-12 00:00:00+00:00,00:00,K,Southern_Wales,11.33
2021-12-13 00:00:00+00:00,00:00,K,Southern_Wales,11.21
2021-12-14 00:00:00+00:00,00:00,K,Southern_Wales,12.27
2021-12-15 00:00:00+00:00,00:00,K,Southern_Wales,13.16
2021-12-16 00:00:00+00:00,00:00,K,Southern_Wales,13.3
2021-12-17 00:00:00+00:00,00:00,K,Southern_Wales,13.94
2021-12-18 00:00:00+00:00,00:00,K,Southern_Wales,14.02
2021-12-19 00:00:00+00:00,00:00,K,Southern_Wales,14.02
2021-12-20 00:00:00+00:00,00:00,K,Southern_Wales,14.14
2021-12-21 00:00:00+00:00,00:00,K,Southern_Wales,15.58
2021-12-22 00:00:00+00:00,00:00,K,Southern_Wales,18.54
2021-12-23 00:00:00+00:00,00:00,K,Southern_Wales,17.51
2021-12-24 00:00:00+00:00,00:00,K,Southern_Wales,14.55
2021-12-25 00:00:00+00:00,00:00,K,Southern_Wales,9.7
2021-12-26 00:00:00+00:00,00:00,K,Southern_Wales,9.7
2021-12-27 00:00:00+00:00,00:00,K,Southern_Wales,9.7
2021-12-28 00:00:00+00:00,00:00,K,Southern_Wales,9.7
2021-12-29 00:00:00+00:00,00:00,K,Southern_Wales,9.42
2021-12-30 00:00:00+00:00,00:00,K,Southern_Wales,9.17
2021-12-31 00:00:00+00:00,00:00,K,Southern_Wales,7.8
2022-01-01 00:00:00+00:00,00:00,K,Southern_Wales,6.51
2022-01-02 00:00:00+00:00,00:00,K,Southern_Wales,6.51
2022-01-03 00:00:00+00:00,00:00,K,Southern_Wales,6.51
2022-01-04 00:00:00+00:00,00:00,K,Southern_Wales,6.12
2022-01-05 00:00:00+00:00,00:00,K,Southern_Wales,8.94
2022-01-06 00:00:00+00:00,00:00,K,Southern_Wales,9.73
2022-01-07 00:00:00+00:00,00:00,K,Southern_Wales,9.96
2022-01-08 00:00:00+00:00,00:00,K,Southern_Wales,8.79
2022-01-09 00:00:00+00:00,00:00,K,Southern_Wales,8.79
2022-01-10 00:00:00+00:00,00:00,K,Southern_Wales,9.09
2022-01-11 00:00:00+00:00,00:00,K,Southern_Wales,9.12
2022-01-12 00:00:00+00:00,00:00,K,Southern_Wales,8.48
2022-01-13 00:00:00+00:00,00:00,K,Southern_Wales,7.99
2022-01-14 00:00:00+00:00,00:00,K,Southern_Wales,8.94
2022-01-15 00:00:00+00:00,00:00,K,Southern_Wales,8.94
2022-01-16 00:00:00+00:00,00:00,K,Southern_Wales,8.94
2022-01-17 00:00:00+00:00,00:00,K,Southern_Wales,8.94
2022-01-18 00:00:00+00:00,00:00,K,Southern_Wales,8.27
2022-01-19 00:00:00+00:00,00:00,K,Southern_Wales,8.56
2022-01-20 00:00:00+00:00,00:00,K,Southern_Wales,8.16
2022-01-21 00:00:00+00:00,00:00,K,Southern_Wales,8.11
2022-01-22 00:00:00+00:00,00:00,K,Southern_Wales,8.35
2022-01-23 00:00:00+00:00,00:00,K,Southern_Wales,8.35
2022-01-24 00:00:00+00:00,00:00,K,Southern_Wales,8.43
2022-01-25 00:00:00+00:00,00:00,K,Southern_Wales,9.68
2022-01-26 00:00:00+00:00,00:00,K,Southern_Wales,9.66
2022-01-27 00:00:00+00:00,00:00,K,Southern_Wales,9.36
2022-01-28 00:00:00+00:00,00:00,K,Southern_Wales,9.3
2022-01-29 00:00:00+00:00,00:00,K,Southern_Wales,10.15
2022-01-30 00:00:00+00:00,00:00,K,Southern_Wales,10.15
2022-01-31 00:00:00+00:00,00:00,K,Southern_Wales,9.62
2022-02-01 00:00:00+00:00,00:00,K,Southern_Wales,8.44
2022-02-02 00:00:00+00:00,00:00,K,Southern_Wales,7.9
2022-02-03 00:00:00+00:00,00:00,K,Southern_Wales,7.91
2022-02-04 00:00:00+00:00,00:00,K,Southern_Wales,8.19
2022-02-05 00:00:00+00:00,00:00,K,Southern_Wales,8.44
