CET Time,UK Time (HH:MM),Area Code,                   Area Name,Unit Price (inc VAT)
2021-10-01 00:00:00+00:00,00:00,M,Yorkshire,9.2
2021-10-02 00:00:00+00:00,00:00,M,Yorkshire,8.1
2021-10-03 00:00:00+00:00,00:00,M,Yorkshire,8.1
2021-10-04 00:00:00+00:00,00:00,M,Yorkshire,8.28
2021-10-05 00:00:00+00:00,00:00,M,Yorkshire,9.22
2021-10-06 00:00:00+00:00,00:00,M,Yorkshire,11.55
2021-10-07 00:00:00+00:00,00:00,M,Yorkshire,10.03
2021-10-08 00:00:00+00:00,00:00,M,Yorkshire,9.66
2021-10-09 00:00:00+00:00,00:00,M,Yorkshire,8.24
2021-10-10 00:00:00+00:00,00:00,M,Yorkshire,8.24
2021-10-11 00:00:00+00:00,00:00,M,Yorkshire,8.31
2021-10-12 00:00:00+00:00,00:00,M,Yorkshire,8.95
2021-10-13 00:00:00+00:00,00:00,M,Yorkshire,9.12
2021-10-14 00:00:00+00:00,00:00,M,Yorkshire,9.38
2021-10-15 00:00:00+00:00,00:00,M,Yorkshire,10.22
2021-10-16 00:00:00+00:00,00:00,M,Yorkshire,8.74
2021-10-17 00:00:00+00:00,00:00,M,Yorkshire,8.74
2021-10-18 00:00:00+00:00,00:00,M,Yorkshire,8.89
2021-10-19 00:00:00+00:00,00:00,M,Yorkshire,9.02
2021-10-20 00:00:00+00:00,00:00,M,Yorkshire,8.74
2021-10-21 00:00:00+00:00,00:00,M,Yorkshire,9.11
2021-10-22 00:00:00+00:00,00:00,M,Yorkshire,9.35
2021-10-23 00:00:00+00:00,00:00,M,Yorkshire,8.97
2021-10-24 00:00:00+00:00,00:00,M,Yorkshire,8.97
2021-10-25 00:00:00+00:00,00:00,M,Yorkshire,9.04
2021-10-26 00:00:00+00:00,00:00,M,Yorkshire,9.08
2021-10-27 00:00:00+00:00,00:00,M,Yorkshire,9.16
2021-10-28 00:00:00+00:00,00:00,M,Yorkshire,8.9
2021-10-29 00:00:00+00:00,00:00,M,Yorkshire,8.01
2021-10-30 00:00:00+00:00,00:00,M,Yorkshire,6.46
2021-10-31 00:00:00+00:00,00:00,M,Yorkshire,6.46
2021-11-01 00:00:00+00:00,00:00,M,Yorkshire,6.5
2021-11-02 00:00:00+00:00,00:00,M,Yorkshire,7.09
2021-11-03 00:00:00+00:00,00:00,M,Yorkshire,7.6
2021-11-04 00:00:00+00:00,00:00,M,Yorkshire,8.36
2021-11-05 00:00:00+00:00,00:00,M,Yorkshire,7.98
2021-11-06 00:00:00+00:00,00:00,M,Yorkshire,7.94
2021-11-07 00:00:00+00:00,00:00,M,Yorkshire,7.94
2021-11-08 00:00:00+00:00,00:00,M,Yorkshire,8.05
2021-11-09 00:00:00+00:00,00:00,M,Yorkshire,8.24
2021-11-10 00:00:00+00:00,00:00,M,Yorkshire,7.63
2021-11-11 00:00:00+00:00,00:00,M,Yorkshire,7.3
2021-11-12 00:00:00+00:00,00:00,M,Yorkshire,7.86
2021-11-13 00:00:00+00:00,00:00,M,Yorkshire,7.86
2021-11-14 00:00:00+00:00,00:00,M,Yorkshire,7.86
2021-11-15 00:00:00+00:00,00:00,M,Yorkshire,8.05
2021-11-16 00:00:00+00:00,00:00,M,Yorkshire,8.89
2021-11-17 00:00:00+00:00,00:00,M,Yorkshire,9.75
2021-11-18 00:00:00+00:00,00:00,M,Yorkshire,9.95
2021-11-19 00:00:00+00:00,00:00,M,Yorkshire,9.69
2021-11-20 00:00:00+00:00,00:00,M,Yorkshire,9.16
2021-11-21 00:00:00+00:00,00:00,M,Yorkshire,9.16
2021-11-22 00:00:00+00:00,00:00,M,Yorkshire,9.35
2021-11-23 00:00:00+00:00,00:00,M,Yorkshire,9.23
2021-11-24 00:00:00+00:00,00:00,M,Yorkshire,9.71
2021-11-25 00:00:00+00:00,00:00,M,Yorkshire,10.1
2021-11-26 00:00:00+00:00,00:00,M,Yorkshire,9.95
2021-11-27 00:00:00+00:00,00:00,M,Yorkshire,9.46
2021-11-28 00:00:00+00:00,00:00,M,Yorkshire,9.46
2021-11-29 00:00:00+00:00,00:00,M,Yorkshire,9.39
2021-11-30 00:00:00+00:00,00:00,M,Yorkshire,10.09
2021-12-01 00:00:00+00:00,00:00,M,Yorkshire,9.91
2021-12-02 00:00:00+00:00,00:00,M,Yorkshire,10.45
