CET Time,UK Time (HH:MM),Area Code,                   Area Name,Unit Price (inc VAT)
2021-01-01 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.32
2021-01-02 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.68
2021-01-03 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.96
2021-01-04 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.21
2021-01-05 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.24
2021-01-06 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,27.0
2021-01-07 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,20.19
2021-01-08 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,21.76
2021-01-09 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.0
2021-01-10 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.26
2021-01-11 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.71
2021-01-12 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,22.89
2021-01-13 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,33.86
2021-01-14 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,30.19
2021-01-15 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,28.22
2021-01-16 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.15
2021-01-17 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.13
2021-01-18 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.24
2021-01-19 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.21
2021-01-20 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.91
2021-01-21 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.8
2021-01-22 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.75
2021-01-23 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.75
2021-01-24 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,18.12
2021-01-25 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.51
2021-01-26 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.3
2021-01-27 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.25
2021-01-28 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.94
2021-01-29 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.02
2021-01-30 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.39
2021-01-31 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.23
2021-02-01 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,18.75
2021-02-02 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.83
2021-02-03 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.67
2021-02-04 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.75
2021-02-05 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.82
2021-02-06 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.87
2021-02-07 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.48
2021-02-08 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.28
2021-02-09 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.62
2021-02-10 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,19.07
2021-02-11 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.34
2021-02-12 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.89
2021-02-13 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.92
2021-02-14 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.61
2021-02-15 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.17
2021-02-16 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.84
2021-02-17 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.52
2021-02-18 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.46
2021-02-19 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.45
2021-02-20 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.2
2021-02-21 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,13.91
2021-02-22 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.47
2021-02-23 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.15
2021-02-24 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,13.79
2021-02-25 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.53
2021-02-26 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.32
2021-02-27 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.35
2021-02-28 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.53
2021-03-01 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.25
2021-03-02 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,19.21
2021-03-03 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,20.24
2021-03-04 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.63
2021-03-05 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.86
2021-03-06 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.6
2021-03-07 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.19
2021-03-08 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,18.45
2021-03-09 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.6
2021-03-10 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.2
2021-03-11 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.24
2021-03-12 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.49
2021-03-13 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.07
2021-03-14 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.56
2021-03-15 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.6
2021-03-16 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.93
2021-03-17 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.78
2021-03-18 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.63
2021-03-19 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.97
2021-03-20 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.56
2021-03-21 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.55
2021-03-22 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.99
2021-03-23 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.34
2021-03-24 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.44
2021-03-25 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.7
2021-03-26 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.91
2021-03-27 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,14.13
2021-03-28 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,11.62
2021-03-29 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,13.62
2021-03-30 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.12
2021-03-31 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.55
2021-04-01 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.77
2021-04-02 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.88
2021-04-03 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.84
2021-04-04 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.4
2021-04-05 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,12.43
2021-04-06 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,15.35
2021-04-07 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.58
2021-04-08 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.32
2021-04-09 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.82
2021-04-10 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.56
2021-04-11 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,16.45
2021-04-12 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.78
2021-04-13 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,21.86
2021-04-14 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,21.42
2021-04-15 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.51
2021-04-16 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.56
2021-04-17 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.2
2021-04-18 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.38
2021-04-19 00:00:00+00:00,00:00,D,Merseyside_and_Northern_Wales,17.42
