CET Time,UK Time (HH:MM),Area Code,                   Area Name,Unit Price (inc VAT)
2021-01-01 00:00:00+00:00,00:00,L,South_Western_England,16.26
2021-01-02 00:00:00+00:00,00:00,L,South_Western_England,16.62
2021-01-03 00:00:00+00:00,00:00,L,South_Western_England,15.92
2021-01-04 00:00:00+00:00,00:00,L,South_Western_England,16.17
2021-01-05 00:00:00+00:00,00:00,L,South_Western_England,16.19
2021-01-06 00:00:00+00:00,00:00,L,South_Western_England,26.66
2021-01-07 00:00:00+00:00,00:00,L,South_Western_England,20.03
2021-01-08 00:00:00+00:00,00:00,L,South_Western_England,21.56
2021-01-09 00:00:00+00:00,00:00,L,South_Western_England,16.93
2021-01-10 00:00:00+00:00,00:00,L,South_Western_England,17.19
2021-01-11 00:00:00+00:00,00:00,L,South_Western_England,16.64
2021-01-12 00:00:00+00:00,00:00,L,South_Western_England,22.66
2021-01-13 00:00:00+00:00,00:00,L,South_Western_England,33.33
2021-01-14 00:00:00+00:00,00:00,L,South_Western_England,29.76
2021-01-15 00:00:00+00:00,00:00,L,South_Western_England,27.85
2021-01-16 00:00:00+00:00,00:00,L,South_Western_England,16.11
2021-01-17 00:00:00+00:00,00:00,L,South_Western_England,16.09
2021-01-18 00:00:00+00:00,00:00,L,South_Western_England,16.2
2021-01-19 00:00:00+00:00,00:00,L,South_Western_England,16.17
2021-01-20 00:00:00+00:00,00:00,L,South_Western_England,15.88
2021-01-21 00:00:00+00:00,00:00,L,South_Western_England,15.77
2021-01-22 00:00:00+00:00,00:00,L,South_Western_England,16.68
2021-01-23 00:00:00+00:00,00:00,L,South_Western_England,16.68
2021-01-24 00:00:00+00:00,00:00,L,South_Western_England,18.03
2021-01-25 00:00:00+00:00,00:00,L,South_Western_England,16.45
2021-01-26 00:00:00+00:00,00:00,L,South_Western_England,17.23
2021-01-27 00:00:00+00:00,00:00,L,South_Western_England,17.18
2021-01-28 00:00:00+00:00,00:00,L,South_Western_England,15.9
2021-01-29 00:00:00+00:00,00:00,L,South_Western_England,15.98
2021-01-30 00:00:00+00:00,00:00,L,South_Western_England,16.34
2021-01-31 00:00:00+00:00,00:00,L,South_Western_England,16.19
2021-02-01 00:00:00+00:00,00:00,L,South_Western_England,18.64
2021-02-02 00:00:00+00:00,00:00,L,South_Western_England,15.79
2021-02-03 00:00:00+00:00,00:00,L,South_Western_England,15.64
2021-02-04 00:00:00+00:00,00:00,L,South_Western_England,15.72
2021-02-05 00:00:00+00:00,00:00,L,South_Western_England,15.79
2021-02-06 00:00:00+00:00,00:00,L,South_Western_England,15.82
2021-02-07 00:00:00+00:00,00:00,L,South_Western_England,14.48
2021-02-08 00:00:00+00:00,00:00,L,South_Western_England,15.26
2021-02-09 00:00:00+00:00,00:00,L,South_Western_England,16.57
2021-02-10 00:00:00+00:00,00:00,L,South_Western_England,18.94
2021-02-11 00:00:00+00:00,00:00,L,South_Western_England,17.26
2021-02-12 00:00:00+00:00,00:00,L,South_Western_England,15.86
2021-02-13 00:00:00+00:00,00:00,L,South_Western_England,14.91
2021-02-14 00:00:00+00:00,00:00,L,South_Western_England,14.61
2021-02-15 00:00:00+00:00,00:00,L,South_Western_England,15.16
2021-02-16 00:00:00+00:00,00:00,L,South_Western_England,14.83
2021-02-17 00:00:00+00:00,00:00,L,South_Western_England,14.52
2021-02-18 00:00:00+00:00,00:00,L,South_Western_England,14.46
2021-02-19 00:00:00+00:00,00:00,L,South_Western_England,14.45
