CET Time,UK Time (HH:MM),Area Code,                   Area Name,Unit Price (inc VAT)
2021-01-01 00:00:00+00:00,00:00,H,Southern_England,15.35
2021-01-02 00:00:00+00:00,00:00,H,Southern_England,15.71
2021-01-03 00:00:00+00:00,00:00,H,Southern_England,15.0
2021-01-04 00:00:00+00:00,00:00,H,Southern_England,15.26
2021-01-05 00:00:00+00:00,00:00,H,Southern_England,15.28
2021-01-06 00:00:00+00:00,00:00,H,Southern_England,25.75
2021-01-07 00:00:00+00:00,00:00,H,Southern_England,19.12
2021-01-08 00:00:00+00:00,00:00,H,Southern_England,20.64
2021-01-09 00:00:00+00:00,00:00,H,Southern_England,16.01
2021-01-10 00:00:00+00:00,00:00,H,Southern_England,16.27
2021-01-11 00:00:00+00:00,00:00,H,Southern_England,15.73
2021-01-12 00:00:00+00:00,00:00,H,Southern_England,21.75
2021-01-13 00:00:00+00:00,00:00,H,Southern_England,32.42
2021-01-14 00:00:00+00:00,00:00,H,Southern_England,28.85
2021-01-15 00:00:00+00:00,00:00,H,Southern_England,26.93
2021-01-16 00:00:00+00:00,00:00,H,Southern_England,15.18
2021-01-17 00:00:00+00:00,00:00,H,Southern_England,15.16
2021-01-18 00:00:00+00:00,00:00,H,Southern_England,15.28
2021-01-19 00:00:00+00:00,00:00,H,Southern_England,15.26
2021-01-20 00:00:00+00:00,00:00,H,Southern_England,14.95
2021-01-21 00:00:00+00:00,00:00,H,Southern_England,14.85
2021-01-22 00:00:00+00:00,00:00,H,Southern_England,15.77
2021-01-23 00:00:00+00:00,00:00,H,Southern_England,15.76
2021-01-24 00:00:00+00:00,00:00,H,Southern_England,17.11
2021-01-25 00:00:00+00:00,00:00,H,Southern_England,15.54
2021-01-26 00:00:00+00:00,00:00,H,Southern_England,16.31
2021-01-27 00:00:00+00:00,00:00,H,Southern_England,16.25
2021-01-28 00:00:00+00:00,00:00,H,Southern_England,14.97
2021-01-29 00:00:00+00:00,00:00,H,Southern_England,15.07
2021-01-30 00:00:00+00:00,00:00,H,Southern_England,15.41
2021-01-31 00:00:00+00:00,00:00,H,Southern_England,15.28
2021-02-01 00:00:00+00:00,00:00,H,Southern_England,17.72
2021-02-02 00:00:00+00:00,00:00,H,Southern_England,14.88
2021-02-03 00:00:00+00:00,00:00,H,Southern_England,14.72
2021-02-04 00:00:00+00:00,00:00,H,Southern_England,14.8
2021-02-05 00:00:00+00:00,00:00,H,Southern_England,14.88
2021-02-06 00:00:00+00:00,00:00,H,Southern_England,14.91
2021-02-07 00:00:00+00:00,00:00,H,Southern_England,13.56
2021-02-08 00:00:00+00:00,00:00,H,Southern_England,14.33
2021-02-09 00:00:00+00:00,00:00,H,Southern_England,15.66
2021-02-10 00:00:00+00:00,00:00,H,Southern_England,18.03
2021-02-11 00:00:00+00:00,00:00,H,Southern_England,16.35
2021-02-12 00:00:00+00:00,00:00,H,Southern_England,14.93
2021-02-13 00:00:00+00:00,00:00,H,Southern_England,14.0
2021-02-14 00:00:00+00:00,00:00,H,Southern_England,13.68
2021-02-15 00:00:00+00:00,00:00,H,Southern_England,14.24
2021-02-16 00:00:00+00:00,00:00,H,Southern_England,13.91
2021-02-17 00:00:00+00:00,00:00,H,Southern_England,13.6
2021-02-18 00:00:00+00:00,00:00,H,Southern_England,13.53
2021-02-19 00:00:00+00:00,00:00,H,Southern_England,13.52
2021-02-20 00:00:00+00:00,00:00,H,Southern_England,13.28
2021-02-21 00:00:00+00:00,00:00,H,Southern_England,13.01
2021-02-22 00:00:00+00:00,00:00,H,Southern_England,14.52
2021-02-23 00:00:00+00:00,00:00,H,Southern_England,13.25
2021-02-24 00:00:00+00:00,00:00,H,Southern_England,12.88
2021-02-25 00:00:00+00:00,00:00,H,Southern_England,13.61
2021-02-26 00:00:00+00:00,00:00,H,Southern_England,14.37
2021-02-27 00:00:00+00:00,00:00,H,Southern_England,14.41
2021-02-28 00:00:00+00:00,00:00,H,Southern_England,14.58
2021-03-01 00:00:00+00:00,00:00,H,Southern_England,15.29
2021-03-02 00:00:00+00:00,00:00,H,Southern_England,18.18
2021-03-03 00:00:00+00:00,00:00,H,Southern_England,19.17
