CET Time,UK Time (HH:MM),Area Code,                   Area Name,Unit Price (inc VAT)
2021-01-01 00:00:00+00:00,00:00,J,South_Eastern_England,15.56
2021-01-02 00:00:00+00:00,00:00,J,South_Eastern_England,15.92
2021-01-03 00:00:00+00:00,00:00,J,South_Eastern_England,15.21
2021-01-04 00:00:00+00:00,00:00,J,South_Eastern_England,15.47
2021-01-05 00:00:00+00:00,00:00,J,South_Eastern_England,15.49
2021-01-06 00:00:00+00:00,00:00,J,South_Eastern_England,26.01
2021-01-07 00:00:00+00:00,00:00,J,South_Eastern_England,19.35
2021-01-08 00:00:00+00:00,00:00,J,South_Eastern_England,20.88
2021-01-09 00:00:00+00:00,00:00,J,South_Eastern_England,16.22
2021-01-10 00:00:00+00:00,00:00,J,South_Eastern_England,16.48
2021-01-11 00:00:00+00:00,00:00,J,South_Eastern_England,15.94
2021-01-12 00:00:00+00:00,00:00,J,South_Eastern_England,21.99
2021-01-13 00:00:00+00:00,00:00,J,South_Eastern_England,32.72
2021-01-14 00:00:00+00:00,00:00,J,South_Eastern_England,29.13
2021-01-15 00:00:00+00:00,00:00,J,South_Eastern_England,27.2
2021-01-16 00:00:00+00:00,00:00,J,South_Eastern_England,15.39
2021-01-17 00:00:00+00:00,00:00,J,South_Eastern_England,15.37
2021-01-18 00:00:00+00:00,00:00,J,South_Eastern_England,15.49
2021-01-19 00:00:00+00:00,00:00,J,South_Eastern_England,15.47
2021-01-20 00:00:00+00:00,00:00,J,South_Eastern_England,15.16
2021-01-21 00:00:00+00:00,00:00,J,South_Eastern_England,15.06
2021-01-22 00:00:00+00:00,00:00,J,South_Eastern_England,15.98
2021-01-23 00:00:00+00:00,00:00,J,South_Eastern_England,15.98
2021-01-24 00:00:00+00:00,00:00,J,South_Eastern_England,17.34
2021-01-25 00:00:00+00:00,00:00,J,South_Eastern_England,15.75
2021-01-26 00:00:00+00:00,00:00,J,South_Eastern_England,16.53
2021-01-27 00:00:00+00:00,00:00,J,South_Eastern_England,16.47
2021-01-28 00:00:00+00:00,00:00,J,South_Eastern_England,15.18
2021-01-29 00:00:00+00:00,00:00,J,South_Eastern_England,15.27
2021-01-30 00:00:00+00:00,00:00,J,South_Eastern_England,15.62
