CET Time,UK Time (HH:MM),Area Code,                   Area Name,Unit Price (inc VAT)
2021-01-01 00:00:00+00:00,00:00,M,Yorkshire,14.85
2021-01-02 00:00:00+00:00,00:00,M,Yorkshire,15.2
2021-01-03 00:00:00+00:00,00:00,M,Yorkshire,14.49
2021-01-04 00:00:00+00:00,00:00,M,Yorkshire,14.75
2021-01-05 00:00:00+00:00,00:00,M,Yorkshire,14.77
2021-01-06 00:00:00+00:00,00:00,M,Yorkshire,25.4
2021-01-07 00:00:00+00:00,00:00,M,Yorkshire,18.67
2021-01-08 00:00:00+00:00,00:00,M,Yorkshire,20.22
2021-01-09 00:00:00+00:00,00:00,M,Yorkshire,15.52
2021-01-10 00:00:00+00:00,00:00,M,Yorkshire,15.78
2021-01-11 00:00:00+00:00,00:00,M,Yorkshire,15.24
2021-01-12 00:00:00+00:00,00:00,M,Yorkshire,21.34
2021-01-13 00:00:00+00:00,00:00,M,Yorkshire,32.17
2021-01-14 00:00:00+00:00,00:00,M,Yorkshire,28.54
2021-01-15 00:00:00+00:00,00:00,M,Yorkshire,26.6
2021-01-16 00:00:00+00:00,00:00,M,Yorkshire,14.68
2021-01-17 00:00:00+00:00,00:00,M,Yorkshire,14.66
2021-01-18 00:00:00+00:00,00:00,M,Yorkshire,14.77
2021-01-19 00:00:00+00:00,00:00,M,Yorkshire,14.75
2021-01-20 00:00:00+00:00,00:00,M,Yorkshire,14.45
2021-01-21 00:00:00+00:00,00:00,M,Yorkshire,14.34
2021-01-22 00:00:00+00:00,00:00,M,Yorkshire,15.27
2021-01-23 00:00:00+00:00,00:00,M,Yorkshire,15.27
2021-01-24 00:00:00+00:00,00:00,M,Yorkshire,16.63
2021-01-25 00:00:00+00:00,00:00,M,Yorkshire,15.04
2021-01-26 00:00:00+00:00,00:00,M,Yorkshire,15.82
2021-01-27 00:00:00+00:00,00:00,M,Yorkshire,15.77
2021-01-28 00:00:00+00:00,00:00,M,Yorkshire,14.47
2021-01-29 00:00:00+00:00,00:00,M,Yorkshire,14.55
2021-01-30 00:00:00+00:00,00:00,M,Yorkshire,14.91
2021-01-31 00:00:00+00:00,00:00,M,Yorkshire,14.77
2021-02-01 00:00:00+00:00,00:00,M,Yorkshire,17.25
2021-02-02 00:00:00+00:00,00:00,M,Yorkshire,14.36
2021-02-03 00:00:00+00:00,00:00,M,Yorkshire,14.21
2021-02-04 00:00:00+00:00,00:00,M,Yorkshire,14.29
2021-02-05 00:00:00+00:00,00:00,M,Yorkshire,14.36
2021-02-06 00:00:00+00:00,00:00,M,Yorkshire,14.4
2021-02-07 00:00:00+00:00,00:00,M,Yorkshire,13.03
2021-02-08 00:00:00+00:00,00:00,M,Yorkshire,13.82
2021-02-09 00:00:00+00:00,00:00,M,Yorkshire,15.15
2021-02-10 00:00:00+00:00,00:00,M,Yorkshire,17.57
2021-02-11 00:00:00+00:00,00:00,M,Yorkshire,15.86
2021-02-12 00:00:00+00:00,00:00,M,Yorkshire,14.43
2021-02-13 00:00:00+00:00,00:00,M,Yorkshire,13.47
2021-02-14 00:00:00+00:00,00:00,M,Yorkshire,13.16
2021-02-15 00:00:00+00:00,00:00,M,Yorkshire,13.72
2021-02-16 00:00:00+00:00,00:00,M,Yorkshire,13.39
2021-02-17 00:00:00+00:00,00:00,M,Yorkshire,13.07
2021-02-18 00:00:00+00:00,00:00,M,Yorkshire,13.01
2021-02-19 00:00:00+00:00,00:00,M,Yorkshire,13.0
2021-02-20 00:00:00+00:00,00:00,M,Yorkshire,12.75
2021-02-21 00:00:00+00:00,00:00,M,Yorkshire,12.47
2021-02-22 00:00:00+00:00,00:00,M,Yorkshire,14.01
2021-02-23 00:00:00+00:00,00:00,M,Yorkshire,12.72
2021-02-24 00:00:00+00:00,00:00,M,Yorkshire,12.35
2021-02-25 00:00:00+00:00,00:00,M,Yorkshire,13.08
2021-02-26 00:00:00+00:00,00:00,M,Yorkshire,13.86
2021-02-27 00:00:00+00:00,00:00,M,Yorkshire,13.89
2021-02-28 00:00:00+00:00,00:00,M,Yorkshire,14.07
2021-03-01 00:00:00+00:00,00:00,M,Yorkshire,14.78
2021-03-02 00:00:00+00:00,00:00,M,Yorkshire,17.71
2021-03-03 00:00:00+00:00,00:00,M,Yorkshire,18.72
2021-03-04 00:00:00+00:00,00:00,M,Yorkshire,14.16
2021-03-05 00:00:00+00:00,00:00,M,Yorkshire,15.38
2021-03-06 00:00:00+00:00,00:00,M,Yorkshire,15.13
2021-03-07 00:00:00+00:00,00:00,M,Yorkshire,14.72
2021-03-08 00:00:00+00:00,00:00,M,Yorkshire,16.95
2021-03-09 00:00:00+00:00,00:00,M,Yorkshire,14.14
2021-03-10 00:00:00+00:00,00:00,M,Yorkshire,13.74
2021-03-11 00:00:00+00:00,00:00,M,Yorkshire,12.79
2021-03-12 00:00:00+00:00,00:00,M,Yorkshire,13.04
2021-03-13 00:00:00+00:00,00:00,M,Yorkshire,13.61
2021-03-14 00:00:00+00:00,00:00,M,Yorkshire,13.11
2021-03-15 00:00:00+00:00,00:00,M,Yorkshire,15.13
2021-03-16 00:00:00+00:00,00:00,M,Yorkshire,14.46
2021-03-17 00:00:00+00:00,00:00,M,Yorkshire,14.32
2021-03-18 00:00:00+00:00,00:00,M,Yorkshire,14.18
2021-03-19 00:00:00+00:00,00:00,M,Yorkshire,15.5
2021-03-20 00:00:00+00:00,00:00,M,Yorkshire,14.1
2021-03-21 00:00:00+00:00,00:00,M,Yorkshire,14.09
2021-03-22 00:00:00+00:00,00:00,M,Yorkshire,14.53
2021-03-23 00:00:00+00:00,00:00,M,Yorkshire,13.88
2021-03-24 00:00:00+00:00,00:00,M,Yorkshire,13.98
2021-03-25 00:00:00+00:00,00:00,M,Yorkshire,14.24
2021-03-26 00:00:00+00:00,00:00,M,Yorkshire,13.46
2021-03-27 00:00:00+00:00,00:00,M,Yorkshire,12.68
2021-03-28 00:00:00+00:00,00:00,M,Yorkshire,10.22
2021-03-29 00:00:00+00:00,00:00,M,Yorkshire,12.19
2021-03-30 00:00:00+00:00,00:00,M,Yorkshire,13.66
2021-03-31 00:00:00+00:00,00:00,M,Yorkshire,14.09
2021-04-01 00:00:00+00:00,00:00,M,Yorkshire,14.31
2021-04-02 00:00:00+00:00,00:00,M,Yorkshire,14.41
2021-04-03 00:00:00+00:00,00:00,M,Yorkshire,14.37
2021-04-04 00:00:00+00:00,00:00,M,Yorkshire,13.94
2021-04-05 00:00:00+00:00,00:00,M,Yorkshire,11.01
2021-04-06 00:00:00+00:00,00:00,M,Yorkshire,13.89
2021-04-07 00:00:00+00:00,00:00,M,Yorkshire,15.1
2021-04-08 00:00:00+00:00,00:00,M,Yorkshire,14.85
2021-04-09 00:00:00+00:00,00:00,M,Yorkshire,15.34
2021-04-10 00:00:00+00:00,00:00,M,Yorkshire,15.09
2021-04-11 00:00:00+00:00,00:00,M,Yorkshire,14.98
2021-04-12 00:00:00+00:00,00:00,M,Yorkshire,16.3
2021-04-13 00:00:00+00:00,00:00,M,Yorkshire,20.32
2021-04-14 00:00:00+00:00,00:00,M,Yorkshire,19.89
2021-04-15 00:00:00+00:00,00:00,M,Yorkshire,16.03
2021-04-16 00:00:00+00:00,00:00,M,Yorkshire,16.07
2021-04-17 00:00:00+00:00,00:00,M,Yorkshire,15.72
2021-04-18 00:00:00+00:00,00:00,M,Yorkshire,15.9
2021-04-19 00:00:00+00:00,00:00,M,Yorkshire,15.94
2021-04-20 00:00:00+00:00,00:00,M,Yorkshire,15.76
2021-04-21 00:00:00+00:00,00:00,M,Yorkshire,14.93
2021-04-22 00:00:00+00:00,00:00,M,Yorkshire,15.53
2021-04-23 00:00:00+00:00,00:00,M,Yorkshire,15.53
2021-04-24 00:00:00+00:00,00:00,M,Yorkshire,15.27
2021-04-25 00:00:00+00:00,00:00,M,Yorkshire,14.85
2021-04-26 00:00:00+00:00,00:00,M,Yorkshire,15.54
2021-04-27 00:00:00+00:00,00:00,M,Yorkshire,15.39
2021-04-28 00:00:00+00:00,00:00,M,Yorkshire,15.2
2021-04-29 00:00:00+00:00,00:00,M,Yorkshire,15.7
2021-04-30 00:00:00+00:00,00:00,M,Yorkshire,16.71
2021-05-01 00:00:00+00:00,00:00,M,Yorkshire,15.96
2021-05-02 00:00:00+00:00,00:00,M,Yorkshire,15.97
2021-05-03 00:00:00+00:00,00:00,M,Yorkshire,15.79
2021-05-04 00:00:00+00:00,00:00,M,Yorkshire,14.31
2021-05-05 00:00:00+00:00,00:00,M,Yorkshire,16.56
2021-05-06 00:00:00+00:00,00:00,M,Yorkshire,16.52
2021-05-07 00:00:00+00:00,00:00,M,Yorkshire,17.15
2021-05-08 00:00:00+00:00,00:00,M,Yorkshire,15.77
2021-05-09 00:00:00+00:00,00:00,M,Yorkshire,15.29
2021-05-10 00:00:00+00:00,00:00,M,Yorkshire,16.11
2021-05-11 00:00:00+00:00,00:00,M,Yorkshire,16.36
2021-05-12 00:00:00+00:00,00:00,M,Yorkshire,17.08
2021-05-13 00:00:00+00:00,00:00,M,Yorkshire,18.08
2021-05-14 00:00:00+00:00,00:00,M,Yorkshire,17.66
2021-05-15 00:00:00+00:00,00:00,M,Yorkshire,16.89
2021-05-16 00:00:00+00:00,00:00,M,Yorkshire,17.17
2021-05-17 00:00:00+00:00,00:00,M,Yorkshire,17.39
2021-05-18 00:00:00+00:00,00:00,M,Yorkshire,17.52
2021-05-19 00:00:00+00:00,00:00,M,Yorkshire,17.55
2021-05-20 00:00:00+00:00,00:00,M,Yorkshire,15.84
2021-05-21 00:00:00+00:00,00:00,M,Yorkshire,14.37
2021-05-22 00:00:00+00:00,00:00,M,Yorkshire,15.16
2021-05-23 00:00:00+00:00,00:00,M,Yorkshire,16.41
2021-05-24 00:00:00+00:00,00:00,M,Yorkshire,16.7
2021-05-25 00:00:00+00:00,00:00,M,Yorkshire,16.22
2021-05-26 00:00:00+00:00,00:00,M,Yorkshire,16.74
2021-05-27 00:00:00+00:00,00:00,M,Yorkshire,17.63
2021-05-28 00:00:00+00:00,00:00,M,Yorkshire,17.72
2021-05-29 00:00:00+00:00,00:00,M,Yorkshire,16.76
2021-05-30 00:00:00+00:00,00:00,M,Yorkshire,15.93
2021-05-31 00:00:00+00:00,00:00,M,Yorkshire,16.13
2021-06-01 00:00:00+00:00,00:00,M,Yorkshire,16.03
2021-06-02 00:00:00+00:00,00:00,M,Yorkshire,16.22
2021-06-03 00:00:00+00:00,00:00,M,Yorkshire,16.13
2021-06-04 00:00:00+00:00,00:00,M,Yorkshire,16.36
2021-06-05 00:00:00+00:00,00:00,M,Yorkshire,16.09
2021-06-06 00:00:00+00:00,00:00,M,Yorkshire,16.32
2021-06-07 00:00:00+00:00,00:00,M,Yorkshire,16.35
2021-06-08 00:00:00+00:00,00:00,M,Yorkshire,15.92
2021-06-09 00:00:00+00:00,00:00,M,Yorkshire,16.13
2021-06-10 00:00:00+00:00,00:00,M,Yorkshire,16.05
2021-06-11 00:00:00+00:00,00:00,M,Yorkshire,16.0
2021-06-12 00:00:00+00:00,00:00,M,Yorkshire,16.55
2021-06-13 00:00:00+00:00,00:00,M,Yorkshire,16.58
2021-06-14 00:00:00+00:00,00:00,M,Yorkshire,16.6
2021-06-15 00:00:00+00:00,00:00,M,Yorkshire,17.01
2021-06-16 00:00:00+00:00,00:00,M,Yorkshire,17.37
2021-06-17 00:00:00+00:00,00:00,M,Yorkshire,17.28
2021-06-18 00:00:00+00:00,00:00,M,Yorkshire,16.88
2021-06-19 00:00:00+00:00,00:00,M,Yorkshire,17.01
2021-06-20 00:00:00+00:00,00:00,M,Yorkshire,17.57
2021-06-21 00:00:00+00:00,00:00,M,Yorkshire,17.18
2021-06-22 00:00:00+00:00,00:00,M,Yorkshire,17.43
2021-06-23 00:00:00+00:00,00:00,M,Yorkshire,18.06
2021-06-24 00:00:00+00:00,00:00,M,Yorkshire,17.65
2021-06-25 00:00:00+00:00,00:00,M,Yorkshire,17.38
2021-06-26 00:00:00+00:00,00:00,M,Yorkshire,18.29
2021-06-27 00:00:00+00:00,00:00,M,Yorkshire,17.87
2021-06-28 00:00:00+00:00,00:00,M,Yorkshire,18.29
2021-06-29 00:00:00+00:00,00:00,M,Yorkshire,18.2
2021-06-30 00:00:00+00:00,00:00,M,Yorkshire,18.04
2021-07-01 00:00:00+00:00,00:00,M,Yorkshire,18.42
2021-07-02 00:00:00+00:00,00:00,M,Yorkshire,19.37
2021-07-03 00:00:00+00:00,00:00,M,Yorkshire,18.68
2021-07-04 00:00:00+00:00,00:00,M,Yorkshire,18.38
2021-07-05 00:00:00+00:00,00:00,M,Yorkshire,18.51
2021-07-06 00:00:00+00:00,00:00,M,Yorkshire,18.83
2021-07-07 00:00:00+00:00,00:00,M,Yorkshire,18.93
2021-07-08 00:00:00+00:00,00:00,M,Yorkshire,18.95
2021-07-09 00:00:00+00:00,00:00,M,Yorkshire,18.64
2021-07-10 00:00:00+00:00,00:00,M,Yorkshire,19.14
2021-07-11 00:00:00+00:00,00:00,M,Yorkshire,18.67
2021-07-12 00:00:00+00:00,00:00,M,Yorkshire,19.79
2021-07-13 00:00:00+00:00,00:00,M,Yorkshire,18.66
2021-07-14 00:00:00+00:00,00:00,M,Yorkshire,17.86
2021-07-15 00:00:00+00:00,00:00,M,Yorkshire,18.11
2021-07-16 00:00:00+00:00,00:00,M,Yorkshire,17.6
2021-07-17 00:00:00+00:00,00:00,M,Yorkshire,17.9
2021-07-18 00:00:00+00:00,00:00,M,Yorkshire,18.12
2021-07-19 00:00:00+00:00,00:00,M,Yorkshire,18.78
2021-07-20 00:00:00+00:00,00:00,M,Yorkshire,19.05
