,Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
419551,25.12.2016 01:30:00,996.32,6.33,279.79,2.22,74.9,9.58,7.17,2.4,4.49,7.2,1238.43,3.77,7.17,216.4
419552,25.12.2016 01:40:00,996.52,6.32,279.76,2.27,75.2,9.57,7.2,2.37,4.5,7.22,1238.73,3.03,5.17,221.7
419553,25.12.2016 01:50:00,996.38,6.27,279.72,2.33,75.8,9.53,7.23,2.31,4.52,7.25,1238.77,4.11,7.09,217.9
419554,25.12.2016 02:00:00,996.25,6.18,279.64,2.41,76.7,9.48,7.27,2.21,4.55,7.3,1238.98,3.79,6.97,220.2
419555,25.12.2016 02:10:00,996.27,6.12,279.58,2.46,77.3,9.44,7.3,2.14,4.57,7.32,1239.25,2.62,5.49,220.8
419556,25.12.2016 02:20:00,996.26,6.07,279.53,2.47,77.6,9.4,7.3,2.11,4.57,7.32,1239.47,2.73,5.15,228.4
419557,25.12.2016 02:30:00,996.19,6.17,279.64,2.51,77.3,9.47,7.32,2.15,4.58,7.35,1238.91,2.54,4.85,227.9
419558,25.12.2016 02:40:00,996.21,6.28,279.74,2.59,77.2,9.54,7.36,2.18,4.61,7.39,1238.46,3.01,5.61,229.6
419559,25.12.2016 02:50:00,996.31,6.25,279.71,2.8,78.5,9.52,7.48,2.05,4.68,7.5,1238.64,2.4,5.29,231.5
419560,25.12.2016 03:00:00,996.21,6.15,279.61,2.97,80.0,9.45,7.56,1.89,4.74,7.59,1238.93,2.56,5.73,229.2
419561,25.12.2016 03:10:00,996.12,6.24,279.71,2.9,79.1,9.52,7.53,1.99,4.71,7.56,1238.42,2.7,6.57,236.1
419562,25.12.2016 03:20:00,996.08,6.35,279.82,2.88,78.4,9.59,7.52,2.07,4.71,7.55,1237.91,3.05,5.77,228.1
419563,25.12.2016 03:30:00,996.03,6.4,279.88,2.96,78.6,9.62,7.56,2.06,4.74,7.59,1237.59,2.77,5.37,226.9
419564,25.12.2016 03:40:00,995.95,6.36,279.85,3.04,79.2,9.6,7.6,2.0,4.76,7.63,1237.64,3.3,6.85,227.9
419565,25.12.2016 03:50:00,996.01,6.34,279.82,3.03,79.3,9.58,7.6,1.98,4.76,7.63,1237.83,2.47,4.45,226.9
419566,25.12.2016 04:00:00,995.82,6.31,279.81,2.99,79.2,9.56,7.57,1.99,4.74,7.61,1237.72,2.45,4.47,227.7
419567,25.12.2016 04:10:00,995.89,6.38,279.87,2.96,78.7,9.61,7.56,2.05,4.74,7.59,1237.5,3.1,6.73,241.0
419568,25.12.2016 04:20:00,995.73,6.45,279.95,2.92,78.1,9.65,7.54,2.11,4.72,7.57,1237.01,2.43,5.37,232.9
419569,25.12.2016 04:30:00,995.51,6.33,279.85,2.86,78.4,9.57,7.51,2.07,4.7,7.54,1237.29,2.56,4.49,233.6
419570,25.12.2016 04:40:00,995.44,6.22,279.74,2.79,78.6,9.5,7.47,2.03,4.68,7.5,1237.71,3.44,8.01,235.0
419571,25.12.2016 04:50:00,995.59,6.2,279.71,2.77,78.6,9.49,7.46,2.03,4.67,7.49,1237.97,3.01,6.45,238.3
419572,25.12.2016 05:00:00,995.64,6.21,279.72,2.8,78.7,9.49,7.47,2.02,4.68,7.51,1238.0,1.77,3.85,233.3
419573,25.12.2016 05:10:00,995.62,6.28,279.79,2.83,78.5,9.54,7.49,2.05,4.69,7.52,1237.63,2.21,5.37,234.5
419574,25.12.2016 05:20:00,995.6,6.38,279.89,2.92,78.5,9.61,7.54,2.07,4.72,7.57,1237.18,2.71,4.93,225.0
419575,25.12.2016 05:30:00,995.64,6.43,279.94,2.98,78.5,9.64,7.57,2.07,4.74,7.6,1236.98,2.83,6.47,227.0
419576,25.12.2016 05:40:00,995.66,6.47,279.98,3.03,78.6,9.67,7.6,2.07,4.76,7.63,1236.8,2.86,4.93,229.1
419577,25.12.2016 05:50:00,995.67,6.49,279.99,3.14,79.1,9.68,7.66,2.02,4.8,7.69,1236.72,2.1,4.73,222.6
419578,25.12.2016 06:00:00,995.82,6.6,280.1,3.23,79.0,9.76,7.71,2.05,4.83,7.74,1236.38,2.72,4.73,232.4
419579,25.12.2016 06:10:00,995.83,6.67,280.17,3.26,78.8,9.8,7.72,2.08,4.84,7.76,1236.06,2.04,5.21,245.8
419580,25.12.2016 06:20:00,995.61,6.68,280.19,3.31,79.0,9.81,7.75,2.06,4.86,7.78,1235.74,2.18,4.53,230.9
419581,25.12.2016 06:30:00,995.61,6.73,280.25,3.38,79.1,9.85,7.79,2.06,4.88,7.82,1235.49,1.17,2.44,211.5
419582,25.12.2016 06:40:00,995.59,6.69,280.21,3.34,79.1,9.82,7.77,2.05,4.87,7.8,1235.66,2.43,6.69,223.4
419583,25.12.2016 06:50:00,995.36,6.71,280.24,3.32,78.9,9.83,7.75,2.07,4.86,7.79,1235.32,3.22,6.53,225.1
419584,25.12.2016 07:00:00,995.2,6.66,280.2,3.34,79.3,9.79,7.77,2.03,4.87,7.8,1235.32,3.04,6.17,226.9
419585,25.12.2016 07:10:00,995.21,6.67,280.21,3.32,79.1,9.8,7.75,2.05,4.86,7.79,1235.3,3.34,7.97,225.3
419586,25.12.2016 07:20:00,995.15,6.67,280.22,3.32,79.1,9.8,7.75,2.05,4.86,7.79,1235.21,2.13,3.89,233.9
419587,25.12.2016 07:30:00,995.14,6.73,280.28,3.23,78.3,9.84,7.71,2.14,4.83,7.74,1234.96,3.11,4.87,235.1
419588,25.12.2016 07:40:00,995.03,6.83,280.38,3.18,77.5,9.91,7.68,2.23,4.81,7.72,1234.41,3.1,5.69,231.9
419589,25.12.2016 07:50:00,994.93,6.92,280.49,3.16,76.9,9.97,7.67,2.3,4.81,7.71,1233.87,2.65,4.13,233.6
419590,25.12.2016 08:00:00,995.09,7.03,280.58,3.2,76.5,10.05,7.69,2.36,4.82,7.72,1233.59,3.74,8.09,236.2
419591,25.12.2016 08:10:00,995.12,7.17,280.72,3.26,76.1,10.15,7.72,2.42,4.84,7.76,1232.98,2.77,6.41,232.1
419592,25.12.2016 08:20:00,995.04,7.24,280.8,3.34,76.2,10.19,7.77,2.43,4.87,7.81,1232.56,3.68,7.61,232.3
419593,25.12.2016 08:30:00,995.0,7.27,280.83,3.37,76.2,10.22,7.78,2.43,4.88,7.82,1232.36,3.09,6.65,230.0
419594,25.12.2016 08:40:00,995.02,7.27,280.83,3.41,76.4,10.22,7.8,2.41,4.89,7.84,1232.38,2.66,5.45,224.0
419595,25.12.2016 08:50:00,994.99,7.23,280.79,3.41,76.6,10.19,7.8,2.38,4.89,7.84,1232.52,2.63,4.97,225.1
419596,25.12.2016 09:00:00,995.17,7.22,280.77,3.43,76.8,10.18,7.82,2.36,4.9,7.86,1232.79,2.6,4.93,225.8
419597,25.12.2016 09:10:00,995.17,7.21,280.76,3.5,77.2,10.17,7.85,2.32,4.92,7.89,1232.82,2.39,5.29,227.2
419598,25.12.2016 09:20:00,995.31,7.22,280.76,3.58,77.6,10.18,7.9,2.28,4.95,7.94,1232.93,2.71,4.41,220.1
419599,25.12.2016 09:30:00,995.61,7.27,280.78,3.65,77.7,10.22,7.94,2.28,4.97,7.97,1233.06,2.2,4.77,229.7
419600,25.12.2016 09:40:00,995.67,7.27,280.78,3.67,77.8,10.22,7.95,2.27,4.98,7.98,1233.13,2.54,6.05,229.6
419601,25.12.2016 09:50:00,995.68,7.33,280.84,3.71,77.7,10.26,7.97,2.29,4.99,8.0,1232.87,1.99,5.37,219.9
419602,25.12.2016 10:00:00,995.78,7.34,280.84,3.75,77.9,10.26,8.0,2.27,5.01,8.03,1232.93,2.86,5.73,221.7
419603,25.12.2016 10:10:00,995.7,7.24,280.75,3.87,79.1,10.19,8.06,2.13,5.05,8.1,1233.24,2.8,5.41,217.7
419604,25.12.2016 10:20:00,995.72,7.28,280.78,3.78,78.4,10.22,8.01,2.21,5.02,8.05,1233.11,3.17,5.45,221.2
419605,25.12.2016 10:30:00,995.55,7.48,281.0,3.69,76.8,10.36,7.96,2.4,4.99,7.99,1232.04,4.64,7.31,211.6
419606,25.12.2016 10:40:00,995.53,7.63,281.15,3.65,75.8,10.47,7.94,2.53,4.97,7.97,1231.38,4.96,7.09,211.1
419607,25.12.2016 10:50:00,995.59,7.62,281.13,3.62,75.7,10.46,7.92,2.54,4.96,7.96,1231.51,5.65,8.29,208.0
419608,25.12.2016 11:00:00,995.63,7.62,281.13,3.66,75.9,10.46,7.94,2.52,4.98,7.98,1231.54,3.4,6.43,214.5
419609,25.12.2016 11:10:00,995.6,7.64,281.15,3.69,76.0,10.48,7.96,2.51,4.99,8.0,1231.41,3.6,8.57,211.1
419610,25.12.2016 11:20:00,995.55,7.67,281.19,3.72,76.0,10.5,7.98,2.52,5.0,8.01,1231.21,2.39,5.45,210.7
419611,25.12.2016 11:30:00,995.44,7.74,281.27,3.77,75.9,10.55,8.01,2.54,5.02,8.04,1230.75,2.64,4.77,208.9
419612,25.12.2016 11:40:00,995.42,7.89,281.42,3.86,75.6,10.66,8.06,2.6,5.05,8.09,1230.04,4.0,7.45,207.6
419613,25.12.2016 11:50:00,995.25,7.96,281.5,3.95,75.7,10.71,8.11,2.6,5.08,8.15,1229.5,4.58,7.23,209.8
